,0,1,2,3
0,1.558,1.429,2.171,8.647
1,1.083,1.295,1.517,14.351
2,1.469,1.343,1.449,10.504
3,1.435,1.187,1.327,8.628
4,1.079,1.683,2.255,14.492
5,2.138,1.087,1.649,8.229
6,1.42,1.321,1.824,10.489
7,1.424,1.368,1.568,10.292
8,1.312,1.684,1.879,8.895
9,1.443,1.315,1.678,13.447
10,2.86,1.317,1.304,9.243
11,0.963,1.664,1.903,11.789
12,1.547,1.556,1.069,10.036
13,1.322,1.421,1.082,14.04
14,1.557,1.319,1.214,6.537
15,1.212,1.104,2.027,15.494
16,1.073,1.677,1.439,6.262
17,1.206,1.084,1.424,6.359
18,1.427,1.19,1.195,9.956
19,1.68,1.957,0.0,10.009
20,1.565,1.554,1.068,9.509
21,2.166,1.445,2.253,12.557
22,1.702,1.195,2.028,15.326
23,2.996,1.454,1.422,7.251
24,2.28,3.598,1.082,8.419
