,0,1,2,3
0,5.238,0.0,1.816,8.887
1,2.205,1.424,1.646,14.584
2,3.793,1.585,1.819,10.258
3,3.339,1.433,1.078,9.235
4,0.0,1.444,1.897,14.729
5,3.33,1.212,1.179,8.816
6,1.886,1.198,2.426,9.644
7,3.789,1.236,2.904,9.088
8,2.966,2.385,1.532,9.365
9,2.755,1.673,1.31,13.572
10,3.69,2.031,1.548,8.996
11,4.777,0.717,1.429,12.272
12,4.169,0.0,1.438,9.785
13,4.521,1.083,1.206,13.565
14,4.191,0.836,1.689,6.405
15,4.814,0.947,1.668,15.981
16,2.152,1.431,1.313,6.262
17,2.658,1.084,1.3,6.241
18,4.766,0.596,2.511,8.522
19,1.201,1.838,1.444,8.566
20,2.412,1.437,1.19,8.903
21,3.115,1.081,1.651,13.035
22,2.657,2.024,1.555,15.679
23,3.245,1.696,1.544,7.251
24,3.614,1.464,1.45,8.292
