,0
0,46.439
1,48.215
2,46.715
3,44.657
4,48.621
5,48.16
6,48.489
7,48.048
8,47.759
9,42.138
10,48.681
11,46.736
12,47.816
13,48.048
14,48.489
15,45.0
16,48.724
17,46.757
18,48.681
19,48.668
20,47.07
21,47.203
22,48.668
23,48.2
24,47.4
25,48.724
26,45.343
27,48.24
28,48.366
29,47.862
30,44.318
31,40.121
32,48.145
33,48.366
34,48.668
35,48.2
36,46.937
37,47.827
38,43.933
39,46.868
40,45.0
41,47.663
42,48.708
43,48.296
44,46.695
45,46.888
46,45.644
47,46.017
48,46.332
49,46.909
50,48.576
51,46.38
52,43.325
53,44.31
54,47.936
55,48.621
56,48.24
57,48.406
58,46.042
59,44.265
60,48.532
61,47.521
62,48.489
63,45.0
64,46.364
65,48.489
66,47.827
67,48.478
68,48.681
69,48.406
70,48.724
71,48.447
72,48.447
