,0
0,1.332
1,0.113
2,0.372
3,0.124
4,0.353
5,0.239
6,0.129
7,5.813
8,0.833
9,0.119
10,1.142
11,6.338
12,1.554
13,1.321
14,0.12
15,0.831
16,5.915
17,4.765
18,1.073
19,10.97
20,0.47
21,0.47
22,1.063
23,0.588
24,0.113
25,0.117
26,0.353
27,1.055
28,1.773
29,0.119
30,0.477
31,1.704
32,0.119
33,0.117
34,0.469
35,0.12
36,0.361
37,0.697
38,0.123
39,1.071
40,1.069
41,0.818
42,5.706
43,1.648
44,0.124
45,1.663
46,0.713
47,0.118
48,0.116
49,0.116
50,0.118
51,0.238
52,0.477
53,3.167
54,0.59
55,0.355
56,0.24
57,0.614
58,0.234
59,2.267
60,0.482
61,0.474
62,8.257
63,4.393
64,1.319
65,0.359
66,0.12
67,0.736
68,0.713
69,0.84
70,1.901
71,1.89
72,0.251
73,0.239
74,0.116
75,1.652
76,0.116
77,0.591
78,0.123
79,0.829
80,0.122
81,0.241
82,0.119
83,2.714
84,2.249
85,1.442
86,0.241
87,0.36
88,0.47
89,0.119
90,0.128
91,1.064
92,5.251
93,0.355
94,0.714
95,0.712
96,1.991
97,0.82
98,0.354
99,0.121
100,0.952
101,0.122
102,0.72
103,2.376
104,8.138
105,0.119
106,0.48
107,0.938
108,0.132
109,0.476
110,0.835
111,1.767
112,6.376
113,0.355
114,1.919
115,1.207
116,0.825
117,4.27
118,1.815
119,3.223
120,0.118
121,0.238
