,0,1,2,3
0,2.506,1.801,1.802,19.163
1,4.572,0.0,1.911,13.954
2,4.686,0.0,1.32,19.242
3,1.79,1.329,1.386,13.558
4,5.251,3.605,11.854,0.228
5,5.296,0.0,2.888,10.755
6,1.914,1.329,1.223,12.862
7,1.338,2.53,1.436,14.728
8,2.281,1.812,1.911,10.524
9,1.183,1.322,1.193,15.632
10,3.575,1.934,1.681,19.315
11,1.674,1.557,1.917,14.217
12,1.561,1.807,1.681,17.365
13,2.399,1.922,1.675,12.205
14,4.336,0.0,2.644,11.571
15,1.195,1.685,1.456,9.803
16,4.33,1.088,1.447,20.543
17,1.566,1.33,1.446,17.207
18,2.538,1.579,1.795,13.947
19,2.158,1.572,1.929,14.294
20,1.218,1.791,1.629,13.244
21,1.579,1.453,1.209,14.912
22,2.623,1.797,1.57,12.788
23,3.716,1.33,1.317,10.963
24,2.167,2.042,1.335,17.125
25,2.282,0.726,0.0,1.448
26,1.556,0.0,0.0,16.551
27,1.319,1.458,1.205,24.452
28,1.195,1.201,1.675,13.735
29,1.21,1.794,2.389,22.436
30,1.917,2.046,1.668,12.56
31,1.454,1.566,1.21,13.135
32,1.322,1.809,1.683,13.213
33,1.2,1.179,1.683,18.092
34,4.452,0.0,1.707,15.243
35,2.416,1.206,1.924,10.997
36,2.272,1.574,1.68,11.953
37,1.324,1.327,1.436,13.387
38,1.68,1.188,1.431,14.019
39,1.32,1.33,1.31,10.421
40,5.518,0.0,1.191,10.623
41,1.928,1.931,0.847,11.225
42,3.964,0.0,1.809,11.56
43,2.533,1.203,1.322,10.161
44,2.989,1.44,1.464,10.123
45,1.198,1.188,3.086,10.795
46,1.193,1.447,0.964,17.26
47,1.465,1.936,1.565,11.315
48,1.208,1.09,1.924,10.37
49,1.198,1.547,2.408,12.827
50,2.296,1.813,1.319,18.63
51,4.754,2.651,1.674,16.854
52,3.256,1.208,1.328,14.1
53,1.827,1.336,1.21,14.278
54,3.87,0.0,1.437,18.468
55,4.573,0.0,1.446,11.003
56,2.399,1.559,3.149,9.463
57,1.074,1.795,1.567,11.324
58,1.554,1.443,1.086,10.216
59,2.464,1.526,1.573,11.369
60,3.245,0.488,1.314,15.662
61,3.491,0.0,1.577,12.613
62,3.955,0.0,1.084,11.258
63,1.322,1.318,1.446,9.919
64,2.159,1.209,1.325,11.37
65,3.729,0.0,1.806,12.787
66,3.69,0.0,1.089,15.588
67,1.807,1.201,1.579,13.543
68,2.17,1.083,1.576,11.6
69,1.446,1.432,1.203,13.733
70,1.451,1.445,14.189,8.965
71,2.128,1.585,1.212,12.238
72,1.323,1.577,2.178,12.151
73,1.44,2.294,1.452,13.076
74,4.878,0.0,1.443,11.932
75,1.078,2.287,1.198,15.199
76,1.688,0.0,0.728,16.057
77,2.036,1.666,1.088,11.564
78,1.097,1.21,1.072,8.205
79,1.208,1.325,0.969,9.909
80,3.94,0.612,1.324,7.156
81,3.706,0.0,1.329,11.594
82,3.839,1.2,1.568,11.857
83,3.581,1.195,1.192,8.483
84,1.573,1.813,1.093,7.992
85,4.454,0.724,1.315,9.304
86,1.56,1.209,1.37,9.101
87,3.27,1.198,1.081,10.269
88,3.346,2.035,0.0,10.139
89,2.643,1.561,1.798,10.477
90,4.417,0.594,2.868,8.092
91,4.678,0.0,1.31,10.256
92,1.092,1.194,3.365,10.959
93,3.577,0.722,1.198,10.504
94,3.484,0.0,3.014,10.124
95,1.211,1.329,1.801,10.667
96,1.565,1.571,2.531,16.929
97,2.757,1.939,1.316,11.217
98,2.392,1.806,1.672,12.175
99,1.574,1.2,0.972,11.11
100,1.323,1.44,1.212,8.956
