,0
0,48.013
1,46.45
2,48.136
3,48.552
4,48.668
5,45.395
6,47.936
7,47.231
8,48.013
9,48.576
10,48.136
11,45.774
12,47.726
13,47.974
14,48.323
15,48.013
16,47.62
17,47.862
18,47.69
19,48.715
20,47.322
21,48.715
22,47.121
23,48.621
24,48.668
25,46.848
26,48.281
27,48.638
28,48.281
29,48.715
30,47.974
31,47.899
32,46.054
33,48.504
34,46.801
35,46.569
36,48.27
37,47.045
38,47.459
39,47.842
40,47.69
41,47.862
42,48.24
43,47.203
44,47.175
45,48.013
46,46.138
47,48.094
48,46.488
49,48.668
50,47.045
51,47.936
52,48.094
53,46.848
54,47.586
55,48.24
56,47.322
57,48.366
58,45.374
59,48.2
60,46.548
61,48.457
62,47.726
63,48.621
64,48.715
65,47.291
66,48.323
67,48.504
68,48.552
69,48.053
70,48.552
71,48.504
72,48.136
73,47.654
74,47.121
75,48.724
76,47.261
77,47.521
78,48.552
79,48.24
80,47.261
81,47.726
82,47.231
83,44.236
84,48.411
85,48.366
86,47.353
87,48.715
88,48.411
89,48.457
90,47.586
91,45.0
92,46.432
93,48.136
94,46.948
95,47.121
96,47.261
97,47.517
98,48.215
