,0
0,28.284
1,21.631
2,27.065
3,21.418
4,21.189
5,20.397
6,20.683
7,23.402
8,19.632
9,23.541
10,27.951
11,22.49
12,25.634
13,21.455
14,19.754
15,17.273
16,27.771
17,24.901
18,21.06
19,22.242
20,19.837
21,21.367
22,20.098
23,18.536
24,24.122
25,10.322
26,18.352
27,30.944
28,19.958
29,30.24
30,20.594
31,19.994
32,21.037
33,26.334
34,22.492
35,17.876
36,18.938
37,20.938
38,21.053
39,17.006
40,18.299
41,23.958
42,18.774
43,16.909
44,17.453
45,18.81
46,24.852
47,22.009
48,17.587
49,19.927
50,25.502
51,26.179
52,21.452
53,19.985
54,24.862
55,18.484
56,18.14
57,18.772
58,16.706
59,18.1
60,21.072
61,19.114
62,17.262
63,16.766
64,17.395
65,19.171
66,21.674
67,19.33
68,17.392
69,20.093
70,28.814
71,19.829
72,19.508
73,20.088
74,19.241
75,21.092
76,20.77
77,20.913
78,14.35
79,16.553
80,13.401
81,18.675
82,20.148
83,17.576
84,14.154
85,16.169
86,16.709
87,17.148
88,15.771
89,17.679
90,16.335
91,17.942
92,18.554
93,16.246
94,19.265
95,16.805
96,24.642
97,19.502
98,20.08
99,17.282
100,15.224
101,17.458
102,19.736
103,18.714
104,18.08
105,14.955
106,20.157
107,21.99
108,21.369
109,13.64
110,13.806
111,16.365
112,17.469
113,21.347
114,18.777
115,20.456
116,15.908
117,18.204
118,20.848
119,21.827
120,14.626
121,15.946
122,17.552
123,15.672
124,20.026
125,18.144
