,0
0,0.237
1,1.441
2,0.235
3,0.592
4,11.895
5,1.694
6,4.669
7,2.773
8,1.909
9,0.243
10,1.787
11,0.909
12,1.082
13,1.198
14,0.475
15,0.116
16,1.681
17,0.235
18,1.93
19,0.614
20,1.68
21,2.622
22,0.12
23,0.121
24,1.934
25,1.08
26,1.782
27,1.292
28,6.698
29,0.126
30,0.36
31,0.122
32,0.117
33,0.124
34,3.973
35,2.507
36,0.116
37,1.183
38,0.12
39,0.124
40,0.348
41,0.121
42,1.159
43,0.239
44,1.914
45,0.957
46,1.194
47,0.118
48,0.963
49,1.08
50,2.149
51,6.435
52,2.632
53,0.353
54,1.536
55,0.85
56,8.847
57,4.573
58,0.838
59,22.682
60,1.68
61,13.887
62,0.361
63,0.85
64,0.121
65,1.789
66,1.316
67,0.6
68,0.122
69,0.964
70,2.177
71,2.995
72,0.115
73,5.862
74,1.586
75,0.604
76,2.032
77,0.857
78,1.209
79,8.1
80,2.694
81,1.092
82,0.237
83,0.838
84,0.116
85,11.364
86,0.961
87,0.959
88,0.244
89,3.564
90,3.013
91,0.956
92,0.239
93,1.069
94,0.12
95,1.559
96,0.239
97,10.498
98,0.128
99,0.33
100,0.601
101,2.174
102,11.918
103,0.234
104,6.097
105,1.579
106,0.704
107,12.558
108,10.219
109,0.124
110,0.24
111,0.12
112,0.121
113,2.302
114,0.958
115,0.116
116,0.473
117,2.123
118,6.547
119,3.088
120,1.316
121,0.833
122,0.945
123,0.351
124,6.71
125,0.372
126,1.572
127,0.485
128,0.604
129,1.541
130,1.645
131,2.936
132,0.468
133,0.353
134,1.069
135,0.728
136,0.838
137,0.119
138,3.093
139,2.039
140,0.481
141,0.122
142,11.8
143,0.484
144,2.05
145,0.253
146,0.356
147,1.572
148,9.074
149,1.086
150,1.207
151,0.241
152,0.122
153,7.302
154,0.966
155,0.122
156,0.368
157,0.599
158,0.119
159,0.24
160,0.713
161,1.522
162,5.954
163,1.44
164,2.278
165,0.954
166,0.12
167,3.713
168,3.242
169,0.484
170,0.721
171,0.119
172,0.484
173,9.462
174,2.511
175,0.835
176,1.68
177,3.219
178,0.119
179,0.121
180,6.945
181,0.598
182,1.441
183,2.785
184,0.603
185,0.601
186,1.091
187,0.485
188,0.613
189,19.48
190,0.735
191,1.925
192,5.013
193,5.646
194,2.525
195,2.389
196,5.295
197,1.081
198,2.625
199,0.361
200,1.079
201,0.119
202,4.916
203,0.371
204,0.337
205,2.553
206,1.047
207,0.839
208,0.359
209,0.239
210,1.451
211,5.375
212,1.433
213,0.6
214,3.923
215,0.84
216,1.31
217,0.245
218,0.592
219,0.483
220,6.894
221,0.599
222,0.121
223,1.823
224,4.603
225,0.242
226,1.801
227,2.045
228,0.963
229,2.032
230,1.096
231,2.369
232,4.065
233,1.799
234,0.723
235,0.475
236,1.429
237,0.242
238,1.322
239,1.083
240,5.982
241,0.724
242,0.126
243,0.234
244,0.723
245,0.723
246,0.362
247,0.709
248,0.361
249,2.538
250,0.24
251,0.119
252,0.117
253,0.839
254,0.717
255,1.206
256,1.326
257,0.237
258,0.119
259,2.029
260,0.827
261,0.359
262,0.242
263,2.838
264,5.281
265,1.667
266,0.835
267,0.594
268,1.204
269,0.474
270,9.394
271,0.12
272,6.573
273,0.358
274,0.715
275,0.119
276,0.242
277,0.117
278,1.199
279,0.842
280,0.827
281,0.36
282,0.119
283,3.463
284,0.709
285,0.957
286,1.547
287,0.477
288,0.12
289,0.118
290,0.123
291,1.065
292,0.476
293,2.166
294,0.477
295,0.719
296,2.261
297,2.169
298,0.118
299,0.6
300,0.119
301,5.496
302,2.991
303,0.832
304,0.93
305,1.076
306,1.675
307,1.197
308,0.723
309,0.485
310,0.121
311,0.476
312,0.365
313,0.845
314,0.728
315,0.843
316,0.479
317,1.188
318,0.593
319,0.231
320,0.973
321,0.243
322,0.366
323,1.786
324,1.919
325,0.966
326,0.608
327,0.48
328,0.238
329,0.12
330,2.153
331,0.24
332,0.595
333,0.119
334,0.352
335,0.12
336,0.718
337,0.601
338,0.121
339,0.724
340,0.595
341,0.843
342,0.12
343,0.238
344,0.474
345,0.604
346,1.793
347,0.856
348,0.235
349,0.729
350,0.122
351,0.601
352,0.239
353,4.885
354,0.717
355,1.661
356,0.597
357,1.45
358,0.603
359,0.124
360,0.478
361,0.121
362,0.36
363,0.469
364,0.718
365,1.221
366,0.478
367,0.359
368,0.121
369,1.202
370,0.848
371,0.718
372,1.083
373,0.239
374,0.489
375,0.965
376,0.974
