,0
0,8.551
1,14.199
2,16.003
3,17.073
4,17.785
5,34.922
6,42.733
7,72.682
8,78.975
9,86.26
10,90.344
11,109.722
12,114.579
13,118.076
14,131.967
15,132.673
16,132.906
17,135.061
18,136.501
19,138.558
20,141.223
21,152.941
22,160.505
23,183.001
24,202.52
25,222.516
26,230.561
27,237.134
28,241.645
29,248.464
30,252.644
31,253.128
32,253.615
33,262.989
34,263.481
35,268.771
36,275.257
37,276.06
38,282.288
39,285.639
40,290.587
41,300.223
42,314.388
43,326.707
44,329.224
45,332.953
46,348.41
47,352.38
48,353.341
49,354.545
50,355.995
51,360.07
52,368.405
53,371.513
54,372.23
55,377.288
56,379.581
57,388.91
58,395.298
59,397.476
60,421.114
61,432.266
62,446.391
63,447.84
64,448.809
65,464.443
66,466.478
67,468.998
68,469.723
69,469.962
70,472.493
71,475.027
72,478.141
73,483.093
74,489.071
75,490.9
76,494.005
77,496.401
78,500.842
79,502.291
80,510.516
81,513.699
82,514.912
83,515.884
84,517.089
85,521.116
86,539.075
87,542.41
88,543.49
89,546.383
90,551.503
91,560.647
92,563.384
93,572.33
94,573.881
95,576.535
96,578.461
97,589.316
98,600.053
